Berichtsdatum,Anzahl COVID-19-Fälle,Differenz Vortag Fälle,Todesfälle,Differenz Vortag Todesfälle,Fall-Verstorbenen-Anteil,Fälle ohne Todesfälle
2021-08-29,3932547,8416,92130,12,2.34%,3840417
2021-08-30,3937106,4559,92140,10,2.34%,3844966
2021-08-31,3942856,5750,92200,60,2.34%,3850656
2021-09-01,3956387,13531,92223,23,2.33%,3864164
2021-09-02,3970102,13715,92256,33,2.32%,3877846
2021-09-03,3984353,14251,92301,45,2.32%,3892052
2021-09-04,3995188,10835,92325,24,2.31%,3902863
2021-09-05,4005641,10453,92346,21,2.31%,3913295
2021-09-06,4010390,4749,92354,8,2.30%,3918036
2021-09-07,4017116,6726,92413,59,2.30%,3924703
2021-09-08,4030681,13565,92448,35,2.29%,3938233
2021-09-09,4046112,15431,92498,50,2.29%,3953614
2021-09-10,4059081,12969,92553,55,2.28%,3966528
2021-09-11,4070295,11214,92598,45,2.27%,3977697
2021-09-12,4077640,7345,92606,8,2.27%,3985034
2021-09-13,4083151,5511,92618,12,2.27%,3990533
2021-09-14,4089476,6325,92686,68,2.27%,3996790
2021-09-15,4101931,12455,92769,83,2.26%,4009162
2021-09-16,4114856,12925,92837,68,2.26%,4022019
2021-09-17,4125878,11022,92857,20,2.25%,4033021
2021-09-18,4134779,8901,92920,63,2.25%,4041859
2021-09-19,4142116,7337,92958,38,2.24%,4049158
2021-09-20,4145852,3736,92971,13,2.24%,4052881
2021-09-21,4150516,4664,93052,81,2.24%,4057464
2021-09-22,4160970,10454,93123,71,2.24%,4067847
2021-09-23,4171666,10696,93238,115,2.24%,4078428
2021-09-24,4181393,9727,93303,65,2.23%,4088090
2021-09-25,4188604,7211,93365,62,2.23%,4095239
2021-09-26,4196378,7774,93393,28,2.23%,4102985
2021-09-27,4199400,3022,93403,10,2.22%,4105997
2021-09-28,4203571,4171,93504,101,2.22%,4110067
2021-09-29,4215351,11780,93571,67,2.22%,4121780
2021-09-30,4227501,12150,93638,67,2.21%,4133863
2021-10-01,4237619,10118,93711,73,2.21%,4143908
2021-10-02,4246136,8517,93777,66,2.21%,4152359
2021-10-03,4252300,6164,93786,9,2.21%,4158514
2021-10-04,4255388,3088,93793,7,2.20%,4161595
2021-10-05,4260187,4799,93883,90,2.20%,4166304
2021-10-06,4271734,11547,93959,76,2.20%,4177775
2021-10-07,4283378,11644,94027,68,2.20%,4189351
2021-10-08,4293807,10429,94113,86,2.19%,4199694
2021-10-09,4302661,8854,94178,65,2.19%,4208483
2021-10-10,4310273,7612,94202,24,2.19%,4216071
2021-10-11,4313384,3111,94209,7,2.18%,4219175
2021-10-12,4318355,4971,94297,88,2.18%,4224058
2021-10-13,4330258,11903,94389,92,2.18%,4235869
2021-10-14,4342640,12382,94461,72,2.18%,4248179
2021-10-15,4354158,11518,94526,65,2.17%,4259632
2021-10-16,4365107,10949,94601,75,2.17%,4270506
2021-10-17,4373789,8682,94618,17,2.16%,4279171
2021-10-18,4377845,4056,94628,10,2.16%,4283217
2021-10-19,4384616,6771,94716,88,2.16%,4289900
2021-10-20,4401631,17015,94808,92,2.15%,4306823
2021-10-21,4417708,16077,94875,67,2.15%,4322833
2021-10-22,4437280,19572,94991,116,2.14%,4342289
2021-10-23,4452425,15145,95077,86,2.14%,4357348
2021-10-24,4466157,13732,95100,23,2.13%,4371057
2021-10-25,4472730,6573,95117,17,2.13%,4377613
2021-10-26,4483203,10473,95245,128,2.12%,4387958
2021-10-27,4506415,23212,95359,114,2.12%,4411056
2021-10-28,4534452,28037,95485,126,2.11%,4438967
2021-10-29,4559120,24668,95606,121,2.10%,4463514
2021-10-30,4580663,21543,95696,90,2.09%,4484967
2021-10-31,4597550,16887,95729,33,2.08%,4501821
2021-11-01,4607208,9658,95752,23,2.08%,4511456
2021-11-02,4618021,10813,95833,81,2.08%,4522188
2021-11-03,4638419,20398,96027,194,2.07%,4542392
2021-11-04,4672368,33949,96192,165,2.06%,4576176
2021-11-05,4709488,37120,96346,154,2.05%,4613142
2021-11-06,4743490,34002,96488,142,2.03%,4647002
2021-11-07,4767033,23543,96525,37,2.02%,4670508
2021-11-08,4782546,15513,96558,33,2.02%,4685988
2021-11-09,4804378,21832,96727,169,2.01%,4707651
2021-11-10,4844054,39676,96963,236,2.00%,4747091
2021-11-11,4894250,50196,97198,235,1.99%,4797052
2021-11-12,4942890,48640,97389,191,1.97%,4845501
2021-11-13,4987971,45081,97617,228,1.96%,4890354
2021-11-14,5021469,33498,97672,55,1.95%,4923797
2021-11-15,5045076,23607,97715,43,1.94%,4947361
2021-11-16,5077124,32048,97980,265,1.93%,4979144
2021-11-17,5129950,52826,98274,294,1.92%,5031676
2021-11-18,5195321,65371,98538,264,1.90%,5096783
2021-11-19,5248291,52970,98739,201,1.88%,5149552
2021-11-20,5312215,63924,98987,248,1.86%,5213228
2021-11-21,5354942,42727,99062,75,1.85%,5255880
2021-11-22,5385585,30643,99124,62,1.84%,5286461
2021-11-23,5430911,45326,99433,309,1.83%,5331478
2021-11-24,5497795,66884,99768,335,1.81%,5398027
2021-11-25,5573756,75961,100119,351,1.80%,5473637
2021-11-26,5650170,76414,100476,357,1.78%,5549694
2021-11-27,5717295,67125,100779,303,1.76%,5616516
2021-11-28,5761696,44401,100883,104,1.75%,5660813
2021-11-29,5791060,29364,100956,73,1.74%,5690104
2021-11-30,5836813,45753,101344,388,1.74%,5735469
2021-12-01,5903999,67186,101790,446,1.72%,5802209
2021-12-02,5977208,73209,102178,388,1.71%,5875030
2021-12-03,6051560,74352,102568,390,1.69%,5948992
2021-12-04,6116070,64510,102946,378,1.68%,6013124
2021-12-05,6158125,42055,103040,94,1.67%,6055085
2021-12-06,6185961,27836,103121,81,1.67%,6082840
2021-12-07,6222020,36059,103520,399,1.66%,6118500
2021-12-08,6291621,69601,104047,527,1.65%,6187574
2021-12-09,6362232,70611,104512,465,1.64%,6257720
2021-12-10,6423520,61288,104996,484,1.63%,6318524
2021-12-11,6477217,53697,105506,510,1.63%,6371711
2021-12-12,6509863,32646,105638,132,1.62%,6404225
2021-12-13,6531606,21743,105754,116,1.62%,6425852
2021-12-14,6562429,30823,106227,473,1.62%,6456202
2021-12-15,6613730,51301,106680,453,1.61%,6507050
2021-12-16,6670407,56677,107202,522,1.61%,6563205
2021-12-17,6721375,50968,107639,437,1.60%,6613736
2021-12-18,6764188,42813,108053,414,1.60%,6656135
2021-12-19,6793536,29348,108233,180,1.59%,6685303
2021-12-20,6809622,16086,108352,119,1.59%,6701270
2021-12-21,6833050,23428,108814,462,1.59%,6724236
2021-12-22,6878709,45659,109324,510,1.59%,6769385
2021-12-23,6923636,44927,109749,425,1.59%,6813887
2021-12-24,6959067,35431,110119,370,1.58%,6848948
2021-12-25,6981281,22214,110276,157,1.58%,6871005
2021-12-26,6991381,10100,110364,88,1.58%,6881017
2021-12-27,7005289,13908,110433,69,1.58%,6894856
2021-12-28,7026369,21080,110805,372,1.58%,6915564
2021-12-29,7066412,40043,111219,414,1.57%,6955193
2021-12-30,7109182,42770,111602,383,1.57%,6997580
2021-12-31,7150422,41240,111925,323,1.57%,7038497
2022-01-01,7176814,26392,112109,184,1.56%,7064705
2022-01-02,7189329,12515,112155,46,1.56%,7077174
2022-01-03,7207847,18518,112223,68,1.56%,7095624
2022-01-04,7238408,30561,112579,356,1.56%,7125829
2022-01-05,7297320,58912,112925,346,1.55%,7184395
2022-01-06,7361660,64340,113368,443,1.54%,7248292
2022-01-07,7417995,56335,113632,264,1.53%,7304363
2022-01-08,7473884,55889,113900,268,1.52%,7359984
2022-01-09,7510436,36552,113977,77,1.52%,7396459
2022-01-10,7535691,25255,114029,52,1.51%,7421662
2022-01-11,7581381,45690,114351,322,1.51%,7467030
2022-01-12,7661811,80430,114735,384,1.50%,7547076
2022-01-13,7743228,81417,115051,316,1.49%,7628177
2022-01-14,7835451,92223,115337,286,1.47%,7720114
2022-01-15,7913473,78022,115572,235,1.46%,7797901
2022-01-16,7965977,52504,115619,47,1.45%,7850358
2022-01-17,8000122,34145,115649,30,1.45%,7884473
2022-01-18,8074527,74405,115842,193,1.43%,7958685
2022-01-19,8186850,112323,116081,239,1.42%,8070769
