Data,1 dawka narastajaco,2 dawka narastajaco,Pelna dawka narastajaco,3 dawka narastajaco,Przypominająca dawka narastajaco,1 dawka,2 dawka,3 dawka,Przypominająca dawka,Osoby z niepełną dawką,Osoby z pelną dawką,Osoby z boosterem,Osoby Nieszczepione
2021-12-07,21022140,18089040,20562999,226163,3717520,46035,20198,-2775,276480,459141,16619316,3943683,17128860
2021-12-08,21048776,18102027,20583315,222851,3903556,26636,12987,-3312,186036,465461,16456908,4126407,17102224
2021-12-09,21081218,18118359,20608833,219868,4105050,32442,16332,-2983,201494,472385,16283915,4324918,17069782
2021-12-10,21109336,18135000,20631827,218159,4297739,28118,16641,-1709,192689,477509,16115929,4515898,17041664
2021-12-11,21143897,18157383,20663982,217553,4496674,34561,22383,-606,198935,479915,15949755,4714227,17007103
2021-12-12,21171467,18169848,20685210,218067,4640649,27570,12465,514,143975,486257,15826494,4858716,16979533
2021-12-13,21177713,18172240,20689638,217512,4671733,6246,2392,-555,31084,488075,15800393,4889245,16973287
2021-12-14,21196780,18184347,20707123,214760,4808435,19067,12107,-2752,136702,489657,15683928,5023195,16954220
2021-12-15,21222136,18200501,20730782,212627,4981409,25356,16154,-2133,172974,491354,15536746,5194036,16928864
2021-12-16,21247906,18219781,20756179,210998,5169704,25770,19280,-1629,188295,491727,15375477,5380702,16903094
2021-12-17,21285199,18239531,20780909,209440,5347182,37293,19750,-1558,177478,504290,15224287,5556622,16865801
2021-12-18,21331952,18265285,20814451,208211,5528960,46753,25754,-1229,181778,517501,15077280,5737171,16819048
2021-12-19,21378003,18280663,20835654,208611,5643962,46051,15378,400,115002,542349,14983081,5852573,16772997
2021-12-20,21387771,18283843,20841341,208254,5672394,9768,3180,-357,28432,546430,14960693,5880648,16763229
2021-12-21,21424563,18298815,20861652,205992,5795621,36792,14972,-2262,123227,562911,14860039,6001613,16726437
2021-12-22,21458498,18312564,20880086,203761,5903834,33935,13749,-2231,108213,578412,14772491,6107595,16692502
2021-12-23,21497412,18332228,20904529,201681,6023039,38914,19664,-2080,119205,592883,14679809,6224720,16653588
2021-12-24,21520176,18344379,20920358,200308,6081759,22764,12151,-1373,58720,599818,14638291,6282067,16630824
2021-12-25,21522012,18345775,20922391,199462,6088681,1836,1396,-846,6922,599621,14634248,6288143,16628988
2021-12-26,21522406,18345910,20922571,199373,6089485,394,135,-89,804,599835,14633713,6288858,16628594
2021-12-27,21521616,18346029,20922822,199317,6091050,-790,119,-56,1565,598794,14632455,6290367,16629384
2021-12-28,21548282,18368442,20949161,197699,6200770,26666,22413,-1618,109720,599121,14550692,6398469,16602718
2021-12-29,21589717,18399219,20984699,196190,6364386,41435,30777,-1509,163616,605018,14424123,6560576,16561283
2021-12-30,21635700,18428050,21020631,194954,6534001,45983,28831,-1236,169615,615069,14291676,6728955,16515300
2021-12-31,21668667,18445927,21042850,193282,6654445,32967,17877,-1672,120444,625817,14195123,6847727,16482333
2022-01-01,21673668,18448569,21046400,192486,6672678,5001,2642,-796,18233,627268,14181236,6865164,16477332
2022-01-02,21674039,18448830,21046692,192136,6674483,371,261,-350,1805,627347,14180073,6866619,16476961
2022-01-03,21677758,18451000,21049453,192047,6684750,3719,2170,-89,10267,628305,14172656,6876797,16473242
2022-01-04,21700180,18473284,21075266,191641,6802568,22422,22284,-406,117818,624914,14081057,6994209,16450820
2022-01-05,21743816,18505978,21113044,191850,7006573,43636,32694,209,204005,630772,13914621,7198423,16407184
2022-01-06,21784310,18536970,21148641,192520,7226764,40494,30992,670,220191,635669,13729357,7419284,16366690
2022-01-07,21789739,18540928,21153724,192377,7251966,5429,3958,-143,25202,636015,13709381,7444343,16361261
2022-01-08,21819293,18578338,21194976,193232,7411966,29554,37410,855,160000,624317,13589778,7605198,16331707
2022-01-09,21842425,18616249,21228309,194281,7526837,23132,37911,1049,114871,614116,13507191,7721118,16308575
2022-01-10,21846931,18623823,21240294,194199,7550739,4506,7574,-82,23902,606637,13495356,7744938,16304069
2022-01-11,21868432,18657762,21276912,194593,7673435,21501,33939,394,122696,591520,13408884,7868028,16282568
2022-01-12,21913582,18706541,21329145,195611,7828008,45150,48779,1018,154573,584437,13305526,8023619,16237418
2022-01-13,21946463,18744445,21371753,196771,8005749,32881,37904,1160,177741,574710,13169233,8202520,16204537
2022-01-14,21975695,18770337,21400739,198022,8170965,29232,25892,1251,165216,574956,13031752,8368987,16175305
2022-01-15,22010663,18789814,21424542,198967,8363521,34968,19477,945,192556,586121,12862054,8562488,16140337
2022-01-16,22038075,18802271,21439572,200063,8495901,27412,12457,1096,132380,598503,12743608,8695964,16112925
2022-01-17,22034108,18804589,21434065,200194,8519890,-3967,2318,131,23989,600043,12713981,8720084,16116892
2022-01-18,22054191,18822592,21454689,200755,8638378,20083,18003,561,118488,599502,12615556,8839133,16096809
2022-01-19,22077854,18849430,21484370,201570,8775234,23663,26838,815,136856,593484,12507566,8976804,16073146
2022-01-20,22102980,18877070,21514286,202628,8925153,25126,27640,1058,149919,588694,12386505,9127781,16048020
2022-01-21,22128034,18900664,21541049,203871,9065968,25054,23594,1243,140815,586985,12271210,9269839,16022966
2022-01-22,22155003,18915819,21559669,204936,9224733,26969,15155,1065,158765,595334,12130000,9429669,15995997
2022-01-23,22174493,18924250,21570109,205380,9326462,19490,8431,444,101729,604384,12038267,9531842,15976507
2022-01-24,22193408,18927209,21589637,205473,9345652,18915,2959,93,19190,603771,12038512,9551125,15957592
2022-01-25,22209910,18943547,21608106,205931,9435658,16502,16338,458,90006,601804,11966517,9641589,15941090
2022-01-26,22230267,18966745,21633454,206750,9548272,20357,23198,819,112614,596813,11878432,9755022,15920733
2022-01-27,22251342,18993504,21662397,207745,9667326,21075,26759,995,119054,588945,11787326,9875071,15899658
2022-01-28,22269206,19004764,21675140,208553,9772265,17864,11260,808,104939,594066,11694322,9980818,15881794
2022-01-29,22291055,19028109,21701001,209323,9897574,21849,23345,770,125309,590054,11594104,10106897,15859945
2022-01-30,22305700,19048326,21722687,209768,9977185,14645,20217,445,79611,583013,11535734,10186953,15845300
2022-01-31,22309125,19052817,21727625,209944,9992517,3425,4491,176,15332,581500,11525164,10202461,15841875
2022-02-01,22320403,19070986,21747458,210093,10057033,11278,18169,149,64516,572945,11480332,10267126,15830597
2022-02-02,22334608,19092947,21770732,210597,10130708,14205,21961,504,73675,563876,11429427,10341305,15816392
2022-02-03,22349451,19116811,21795822,210967,10210391,14843,23864,370,79683,553629,11374464,10421358,15801549
